Unnamed: 0,Unnamed: 1,tau,theta,theta_ind,trial,q,B,alpha,policy,true_obj,in_sample_obj,vgc_est,vgc_est_decoup,mse,mse_hat,stein_est,stein_slow_est,ms_vgc_est,ms_vgc_sec_est,ms_vgc_os_est,ms_vgc_sec_os_est,gap,full_info_perf
,,100000.0,0.0,0.0,0.0,1.0,107.0,0.0,unreg,-11.008999824523926,-13.57436180114746,-9.90984845161438,-9.82568645477295,0.6489757895469666,1.2987587451934814,-10.249004364013672,-10.281209468841553,-9.695761442184448,-9.751938104629517,-9.102527618408203,-8.651113510131836,0.0,-12.100000381469728
,,100000.0,1000.0,1.0,0.0,1.0,107.0,0.0,unreg,-11.008999824523926,-13.57436180114746,-9.931313037872314,-9.85313367843628,0.6480531096458435,1.298678994178772,-10.346991062164308,-10.379196166992188,-9.720896482467651,-9.781305074691772,-9.102527618408203,-8.61530876159668,0.0,-12.100000381469728
,,100000.0,1415.0,2.0,0.0,1.0,107.0,0.0,unreg,-11.008999824523926,-13.57436180114746,-9.785634994506836,-9.699125528335571,0.6445168852806091,1.297843337059021,-10.346991062164308,-10.379196166992188,-9.721750497817991,-9.772348642349243,-9.10236358642578,-8.616019248962402,0.0,-12.100000381469728
,,100000.0,2000.0,3.0,0.0,1.0,107.0,0.0,unreg,-11.008999824523926,-13.57436180114746,-9.80874729156494,-9.725733280181885,0.6402428150177002,1.2933580875396729,-10.3622407913208,-10.436757564544678,-9.776211261749268,-9.832541227340698,-9.136646747589111,-8.547293663024902,0.0,-12.100000381469728
,,100000.0,2237.0,4.0,0.0,1.0,107.0,0.0,unreg,-11.141000747680664,-13.498476028442385,-9.99840259552002,-9.925401449203491,0.6317864060401917,1.2739847898483276,-10.655980348587036,-10.655980587005615,-9.95950961112976,-10.019384622573853,-9.07992696762085,-8.311203479766846,0.0,-12.100000381469728
,,100000.0,2829.0,5.0,0.0,1.0,107.0,0.0,unreg,-11.098999977111816,-13.411735534667969,-10.02017307281494,-9.908904314041138,0.6032406091690063,1.253262996673584,-10.549969673156738,-10.61030387878418,-10.109610080718994,-10.194108247756958,-9.151885986328123,-8.408666610717773,0.0,-12.100000381469728
,,100000.0,3000.0,6.0,0.0,1.0,107.0,0.0,unreg,-11.062000274658203,-13.28909683227539,-9.963897228240969,-9.84752631187439,0.5808438062667847,1.2517036199569702,-10.450212955474854,-10.450213193893433,-10.039122819900513,-10.027544021606444,-8.994627475738525,-8.230342864990234,0.0,-12.100000381469728
,,100000.0,3163.0,7.0,0.0,1.0,107.0,0.0,unreg,-10.996000289916992,-12.923553466796877,-9.901917457580566,-9.81203317642212,0.5620754361152649,1.2416995763778689,-10.466135501861572,-10.466135501861572,-10.133399248123167,-10.209705114364624,-9.171469926834106,-8.61832571029663,0.0,-12.100000381469728
,,100000.0,3606.0,8.0,0.0,1.0,107.0,0.0,unreg,-10.92400074005127,-12.36505889892578,-9.792388916015623,-9.695767879486084,0.5054745078086853,1.2110824584960938,-10.423130989074709,-10.45886480808258,-10.152055740356444,-10.369818925857544,-9.759446620941162,-9.77834177017212,0.0,-12.100000381469728
,,100000.0,4000.0,9.0,0.0,1.0,107.0,0.0,unreg,-10.859999656677246,-12.252341270446776,-9.773903846740724,-9.689315795898438,0.5016250610351562,1.201072096824646,-10.33787727355957,-10.565362811088562,-10.10309672355652,-10.164231300354004,-9.962020635604858,-10.262372732162476,0.0,-12.100000381469728
,,100000.0,4124.0,10.0,0.0,1.0,107.0,0.0,unreg,-10.823999404907228,-12.015660285949709,-9.729249238967896,-9.660742044448853,0.4839558899402618,1.1584482192993164,-10.227607369422913,-10.46211290359497,-10.03253448009491,-10.000501155853271,-10.310950756072998,-10.805059909820557,0.0,-12.100000381469728
,,100000.0,4243.0,11.0,0.0,1.0,107.0,0.0,unreg,-10.869000434875488,-11.927021026611328,-9.713429689407349,-9.653990983963013,0.5011007785797119,1.177490234375,-10.393078327178957,-10.49491262435913,-10.08636748790741,-9.965707659721376,-10.255125761032104,-10.769460558891296,0.0,-12.100000381469728
,,100000.0,4473.0,12.0,0.0,1.0,107.0,0.0,unreg,-10.892000198364258,-11.876763343811035,-9.6300630569458,-9.58526873588562,0.4793952405452728,1.137772798538208,-10.489678978919985,-10.515276312828064,-10.19296395778656,-10.068820476531982,-10.329259276390076,-10.670977711677551,0.0,-12.100000381469728
,,100000.0,5000.0,13.0,0.0,1.0,107.0,0.0,unreg,-10.90000057220459,-11.525869369506836,-9.51310896873474,-9.458086729049684,0.4590867757797241,1.132799744606018,-10.152052283287048,-10.15205216407776,-9.947380900382996,-9.771611094474792,-10.625516533851624,-11.329206362366676,0.0,-12.100000381469728
,,100000.0,5100.0,14.0,0.0,1.0,107.0,0.0,unreg,-10.90999984741211,-11.580957412719728,-9.71541178226471,-9.66973888874054,0.4371009469032287,1.117866277694702,-10.309930086135864,-10.384024739265442,-10.124837517738342,-9.88741660118103,-10.603309333324432,-11.188122302293776,0.0,-12.100000381469728
,,100000.0,5386.0,15.0,0.0,1.0,107.0,0.0,unreg,-10.789000511169434,-11.394155502319336,-9.672185182571411,-9.622159004211426,0.4285613894462585,1.1053178310394287,-10.384758234024048,-10.384758234024048,-10.156281232833862,-9.936951518058777,-10.532557249069214,-11.058445125818253,0.0,-12.100000381469728
,,100000.0,5657.0,16.0,0.0,1.0,107.0,0.0,unreg,-10.864999771118164,-11.52130126953125,-9.88026523590088,-9.821698904037476,0.4392962455749511,1.105007290840149,-10.441394925117493,-10.441394925117493,-10.32067847251892,-10.058900594711304,-10.64741349220276,-11.064221143722534,0.0,-12.100000381469728
,,100000.0,5831.0,17.0,0.0,1.0,107.0,0.0,unreg,-10.85200023651123,-11.616374969482422,-10.175691723823547,-10.132603645324709,0.4431124925613403,1.113169550895691,-10.776457130908966,-10.776457250118256,-10.596638321876526,-10.371222257614136,-11.16014751791954,-11.530653692781923,0.0,-12.100000381469728
